Converted_Status,Status,Status_code,Status_description ,Phase,Stage,State
Allowed_Decision,Allowed,AL,,PERMITTING,DECISION,ALLOWED
Decision_Review_Decision,,,,PERMITTING,DECISION,DECISION_REVIEW
Declined_Issuance,Offer Not Accepted,ON,,PERMITTING,ISSUANCE,DECLINED
Disallowed_Decision,Disallowed,DI,,PERMITTING,DECISION,DISALLOWED
Draft_Pre-application,New,,,APPLICATION,PRE_APPLICATION,DRAFT
First_Nations_Consultation_Technical_Review_and_Comment_noenddate,,,,PERMITTING,TECH_REVIEW_COMMENT,FIRST_NATIONS_CONSULTATION
First_Nations_Consultation_Technical_Review_and_Comment,,,,PERMITTING,TECH_REVIEW_COMMENT,FIRST_NATIONS_CONSULTATION
Issued_Issuance,GS,GS,,PERMITTING,ISSUANCE,ISSUED
Offered_Issuance,Offered,OF,,PERMITTING,ISSUANCE,OFFERED
Rejected_Initial_submission_review,,,,PERMITTING,INITIAL_SUBMISSION_REVIEW,REJECTED
Submission_review_Initial_submission_review_nodate,,,,PERMITTING,INITIAL_SUBMISSION_REVIEW,SUBMISSION_REVIEW
Submission_review_Initial_submission_review,,,,PERMITTING,INITIAL_SUBMISSION_REVIEW,SUBMISSION_REVIEW
Submitted_Pre-application,Submitted,,,PERMITTING,PRE_APPLICATION,SUBMITTED
Review_Completion_Recommendation_Technical_Review_and_Comment,,,,PERMITTING,TECH_REVIEW_COMMENT,TECH_REVIEW_COMPLETED
Technical_Review_Technical_Review_and_Comment,Accepted,,,PERMITTING,TECH_REVIEW_COMMENT,TECHNICAL_REVIEW
Withdrawn_Initial_submission_review,Close,,,PERMITTING,INITIAL_SUBMISSION_REVIEW,WITHDRAWN
Withdrawn_Initial_submission_review_nullaccept,Close,,,PERMITTING,INITIAL_SUBMISSION_REVIEW,WITHDRAWN
Withdrawn_Technical_Review_and_Comment,Close,,,PERMITTING,TECH_REVIEW_COMMENT,WITHDRAWN
Withdrawn_Decision,,,,PERMITTING,DECISION,WITHDRAWN
